page_id	name	urlslug	ID	ALIGN	EYE	HAIR	SEX	GSM	ALIVE	APPEARANCES	FIRST APPEARANCE	Year	lon	lat
2512	Wanda Maximoff (Earth-616)	\/Wanda_Maximoff_(Earth-616)	Public Identity	Good Characters	Green Eyes	Brown Hair	Female Characters		Living Characters	1161	Mar-64	1964	-101.2831413772058	48.66821884057856
1671	Nicholas Fury (Earth-616)	\/Nicholas_Fury_(Earth-616)	No Dual Identity	Neutral Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	1137	May-63	1963	-70.36061598332994	-19.68913758708925
1976	Janet van Dyne (Earth-616)	\/Janet_van_Dyne_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Auburn Hair	Female Characters		Living Characters	1120	Jun-63	1963	-128.7830184498092	-34.03178003107913
65219	Jean Grey (Earth-616)	\/Jean_Grey_(Earth-616)	Public Identity	Good Characters	Green Eyes	Red Hair	Female Characters		Deceased Characters	1107	Sep-63	1963	48.40610960251496	-34.112516709704856
6545	Natalia Romanova (Earth-616)	\/Natalia_Romanova_(Earth-616)	Public Identity	Good Characters	Green Eyes	Red Hair	Female Characters	Bisexual Characters	Living Characters	1050	Apr-64	1964	-10.223658566010158	-58.82829113848106
2223	Kurt Wagner (Earth-616)	\/Kurt_Wagner_(Earth-616)	Secret Identity	Good Characters	Yellow Eyes	Blue Hair	Male Characters		Living Characters	1047	May-75	1975	-144.7662638514509	79.44241728796581
2414	Vision (Earth-616)	\/Vision_(Earth-616)	Secret Identity	Good Characters	Gold Eyes	No Hair	Male Characters		Living Characters	1007	Oct-68	1968	16.27770405726534	69.8488892341885
8650	May Reilly (Earth-616)	\/May_Reilly_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Grey Hair	Female Characters		Living Characters	1000	Aug-62	1962	-117.1611	32.7157
2527	Katherine Pryde (Earth-616)	\/Katherine_Pryde_(Earth-616)	Secret Identity	Good Characters	Hazel Eyes	Brown Hair	Female Characters		Living Characters	886	Jan-80	1980	78.93619995131178	41.787324292776475
1970	Carol Danvers (Earth-616)	\/Carol_Danvers_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	881	Mar-68	1968	-42.2899110124672	62.331194988434845
37690	Jennifer Walters (Earth-616)	\/Jennifer_Walters_(Earth-616)	Public Identity	Good Characters	Green Eyes	Brown Hair	Female Characters		Living Characters	881	Feb-80	1980	-151.10304081823202	13.068196085326193
3765	Emma Frost (Earth-616)	\/Emma_Frost_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	Brown Hair	Female Characters		Living Characters	880	Jan-80	1980	-36.06804241523014	-81.70338020995612
2312	Frank Castle (Earth-616)	\/Frank_Castle_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	878	Feb-74	1974	40.811267680674206	37.949283431890194
1265	Luke Cage (Earth-616)	\/Luke_Cage_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Black Hair	Male Characters		Living Characters	856	Jun-72	1972	-13.741980184415155	-25.409225426741003
1677	Rogue (Anna Marie) (Earth-616)	\/Rogue_(Anna_Marie)_(Earth-616)	Secret Identity	Good Characters	Green Eyes	Auburn Hair	Female Characters		Living Characters	850			58.41323287922404	-58.38372017022924
25222	Conan (Earth-616)	\/Conan_(Earth-616)	No Dual Identity	Neutral Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	787	Oct-70	1970	-74.05316030252362	50.925102919556
6537	Joseph Robertson (Earth-616)	\/Joseph_Robertson_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	White Hair	Male Characters		Living Characters	752	Aug-67	1967	74.66273103500629	57.78129249877716
1592	Pietro Maximoff (Earth-616)	\/Pietro_Maximoff_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Silver Hair	Male Characters		Living Characters	740	Mar-64	1964	-22.082522252020766	-18.161061010601117
1818	Hercules (Earth-616)	\/Hercules_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Brown Hair	Male Characters	Bisexual Characters	Living Characters	725	Oct-65	1965	172.99184966274674	74.70675482971913
1448	Victor von Doom (Earth-616)	\/Victor_von_Doom_(Earth-616)	Public Identity	Bad Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	721	Jul-62	1962	133.10554845037456	53.43785018367214
2081	Max Eisenhardt (Earth-616)	\/Max_Eisenhardt_(Earth-616)	Public Identity	Neutral Characters	Grey Eyes	Bald	Male Characters		Living Characters	709	Sep-63	1963	-106.4670314700863	63.25644439222529
2307	Elizabeth Braddock (Earth-616)	\/Elizabeth_Braddock_(Earth-616)	Secret Identity	Neutral Characters	Blue Eyes	Purple Hair	Female Characters	Bisexual Characters	Living Characters	708	Dec-76	1976	-117.1611	32.7157
2556	Norrin Radd (Earth-616)	\/Norrin_Radd_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Bald	Male Characters		Living Characters	696	Mar-66	1966	-117.1611	32.7157
1740	Norman Osborn (Earth-616)	\/Norman_Osborn_(Earth-616)	Public Identity	Bad Characters	Blue Eyes	Auburn Hair	Male Characters		Living Characters	692	Jul-64	1964	127.43197973612365	27.11850107427385
8651	Eugene Thompson (Earth-616)	\/Eugene_Thompson_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Strawberry Blond Hair	Male Characters		Living Characters	689	Aug-62	1962	-59.523375860203586	49.78984757431894
2009	Simon Williams (Earth-616)	\/Simon_Williams_(Earth-616)	Public Identity	Good Characters	Red Eyes	Grey Hair	Male Characters		Living Characters	686	Oct-64	1964	-111.8523520678419	-13.518211588669814
1276	Samuel Guthrie (Earth-616)	\/Samuel_Guthrie_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	657	Nov-82	1982	-38.94280590552751	-65.19436528586182
15823	James Buchanan Barnes (Earth-616)	\/James_Buchanan_Barnes_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	641	Mar-41	1941	95.42186474157779	-19.625973208203973
1680	Remy LeBeau (Earth-616)	\/Remy_LeBeau_(Earth-616)	Secret Identity	Good Characters	Black Eyeballs	Brown Hair	Male Characters		Living Characters	636	Jul-90	1990	-26.781396701858398	61.08865523153307
1866	Daniel Rand (Earth-616)	\/Daniel_Rand_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	618	May-74	1974	-143.57471684651256	39.22743727790004
32498	Nathan Summers (Earth-616)	\/Nathan_Summers_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	White Hair	Male Characters		Living Characters	612	Jan-86	1986	-140.23970924485	45.08195576386359
1772	Elizabeth Brant (Earth-616)	\/Elizabeth_Brant_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Brown Hair	Female Characters		Living Characters	599	Sep-63	1963	63.28840770260197	58.663547666620644
1896	Richard Jones (Earth-616)	\/Richard_Jones_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	590	May-62	1962	9.453354394131992	-47.954558052526075
1496	Edwin Jarvis (Earth-616)	\/Edwin_Jarvis_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	White Hair	Male Characters		Living Characters	567	Nov-64	1964	-117.1611	32.7157
1802	Alexander Summers (Earth-616)	\/Alexander_Summers_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	558	Mar-69	1969	-82.66566591991293	34.22133119966034
1811	Patricia Walker (Earth-616)	\/Patricia_Walker_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Red Hair	Female Characters		Living Characters	550	Nov-44	1944	101.9752337397997	-84.07384433801626
1836	Human Torch (Android) (Earth-616)	\/Human_Torch_(Android)_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	548	Oct-39	1939	93.4535627873505	81.64245866804197
2042	Loki Laufeyson (Earth-616)	\/Loki_Laufeyson_(Earth-616)	No Dual Identity	Neutral Characters	Green Eyes	Black Hair	Genderfluid Characters	Bisexual Characters	Living Characters	532	Aug-49	1949	133.5616799871417	74.1777849108997
1643	Franklin Nelson (Earth-616)	\/Franklin_Nelson_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Bald	Male Characters		Living Characters	528	Apr-64	1964	114.30102879427375	39.79891422514757
1285	Brian Braddock (Earth-616)	\/Brian_Braddock_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	528	Oct-76	1976	-119.06543767909709	-5.030789263198571
1453	Otto Octavius (Earth-616)	\/Otto_Octavius_(Earth-616)	Secret Identity	Neutral Characters	Hazel Eyes	Brown Hair	Male Characters		Deceased Characters	526	Jul-63	1963	-117.1611	32.7157
6194	James Rhodes (Earth-616)	\/James_Rhodes_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	525	Jan-79	1979	36.293054134924546	82.1420306574158
1487	Timothy Dugan (Earth-616)	\/Timothy_Dugan_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Red Hair	Male Characters		Deceased Characters	517	May-63	1963	69.53326904983194	68.83246152121342
1380	Crystalia Amaquelin (Earth-616)	\/Crystalia_Amaquelin_(Earth-616)	Public Identity	Good Characters	Green Eyes	Strawberry Blond Hair	Female Characters		Living Characters	512	Dec-65	1965	123.24598636822617	37.73335758594513
1613	Samuel Wilson (Earth-616)	\/Samuel_Wilson_(Earth-616)	Public Identity	Good Characters	Brown Eyes	Black Hair	Male Characters		Living Characters	512	Sep-69	1969	-75.47978284142783	-26.94760617458794
1931	Wilson Fisk (Earth-616)	\/Wilson_Fisk_(Earth-616)	Public Identity	Bad Characters	Blue Eyes	Bald	Male Characters		Living Characters	503	Jul-67	1967	177.33382083449175	-58.909752328371795
1596	Odin Borson (Earth-616)	\/Odin_Borson_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	White Hair	Male Characters		Living Characters	502	Oct-62	1962	178.13463229093094	-58.204769219752684
1409	Deadpool (Wade Wilson)	\/Deadpool_(Wade_Wilson)	Secret Identity	Neutral Characters	Brown Eyes	Bald	Male Characters	Transvestites	Living Characters	500	Feb-91	1991	161.46671533269773	6.012739302037971
1187	Dane Whitman (Earth-616)	\/Dane_Whitman_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	478	Dec-67	1967	143.68772041258836	-32.175593004240106
1741	Harold Osborn (Earth-616)	\/Harold_Osborn_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Brown Hair	Male Characters		Living Characters	474	Dec-65	1965	8.927561885816289	80.95559322944132
68416	Franklin Richards (Earth-616)	\/Franklin_Richards_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	473	Nov-68	1968	-61.47962728377257	-5.1208723003775845
2589	Jessica Drew (Earth-616)	\/Jessica_Drew_(Earth-616)	Secret Identity	Good Characters	Green Eyes	Auburn Hair	Female Characters		Living Characters	471	Feb-77	1977	146.85226368551463	77.8144141909664
2626	Roberto da Costa (Earth-616)	\/Roberto_da_Costa_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Black Hair	Male Characters		Living Characters	464	Nov-82	1982	23.271917869178793	28.438342194441674
2007	Rahne Sinclair (Earth-616)	\/Rahne_Sinclair_(Earth-616)	Secret Identity	Good Characters	Green Eyes	Red Hair	Female Characters		Living Characters	448	Nov-82	1982	-81.18094265686977	-56.505002495214306
1130	Elizabeth Ross (Earth-616)	\/Elizabeth_Ross_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Black Hair	Female Characters		Living Characters	446	May-62	1962	-108.46431009922655	37.344445756732895
2278	Lorna Dane (Earth-616)	\/Lorna_Dane_(Earth-616)	Secret Identity	Good Characters	Green Eyes	Green Hair	Female Characters		Living Characters	433	Oct-68	1968	-60.262770607477734	-34.03385121589592
67048	Blaine Colt (Earth-616)	\/Blaine_Colt_(Earth-616)	Public Identity		Blue Eyes	Blond Hair	Male Characters		Deceased Characters	429			112.35195075990214	-39.25926154107953
1705	Johnathon Blaze (Earth-616)	\/Johnathon_Blaze_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Reddish Blond Hair	Male Characters		Living Characters	426	Aug-72	1972	26.433095192998877	-68.35679677890033
2550	Sif (Earth-616)	\/Sif_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Black Hair	Female Characters		Living Characters	422	Mar-64	1964	-12.918805137496236	64.04976784883141
2365	Red Hulk (Thaddeus Ross)	\/Red_Hulk_(Thaddeus_Ross)	Public Identity	Neutral Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	415	May-62	1962	146.97583493756025	63.34017058400272
1900	Jubilation Lee (Earth-616)	\/Jubilation_Lee_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Black Hair	Female Characters		Living Characters	408	May-89	1989	-111.24306528352282	-69.16264584127741
2420	Volstagg (Earth-616)	\/Volstagg_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Red Hair	Male Characters		Living Characters	406	Aug-65	1965	62.15845418353524	62.54818390887738
1127	Balder Odinson (Earth-616)	\/Balder_Odinson_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Brown Hair	Male Characters		Deceased Characters	403	Oct-62	1962	156.39433161477416	43.50115263390643
1676	Galactus (Earth-616)	\/Galactus_(Earth-616)	Secret Identity	Neutral Characters	Brown Eyes	No Hair	Male Characters		Living Characters	390	Mar-66	1966	-28.61134913937201	1.0119978277380426
1395	Danielle Moonstar (Earth-616)	\/Danielle_Moonstar_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Black Hair	Female Characters		Living Characters	388	Nov-82	1982	-86.55869237214178	15.14608949730831
2183	Marc Spector (Earth-616)	\/Marc_Spector_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	387	Aug-75	1975	-117.89230307353826	32.59963789455537
1782	Gwendolyne Stacy (Earth-616)	\/Gwendolyne_Stacy_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Deceased Characters	384	Dec-65	1965	177.10308511496953	57.205725475388334
2137	Medusalith Amaquelin (Earth-616)	\/Medusalith_Amaquelin_(Earth-616)	Public Identity	Good Characters	Green Eyes	Red Hair	Female Characters		Living Characters	382	Mar-65	1965	-28.62061885803186	8.380442212790854
2374	Sabretooth (Victor Creed)	\/Sabretooth_(Victor_Creed)	Secret Identity	Bad Characters	Amber Eyes	Blond Hair	Male Characters		Living Characters	382	Aug-77	1977	-2.501787937015621	-62.01781047908865
2077	Illyana Rasputina (Earth-616)	\/Illyana_Rasputina_(Earth-616)	Secret Identity	Neutral Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	380	May-75	1975	-78.3873281646241	-57.48412687603763
2344	Johann Shmidt (Earth-616)	\/Johann_Shmidt_(Earth-616)	Public Identity	Bad Characters	Blue Eyes	Blond Hair	Male Characters		Deceased Characters	376	Aug-41	1941	-117.1611	32.7157
1616	Fandral (Earth-616)	\/Fandral_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Deceased Characters	375	Aug-65	1965	101.60414782027107	48.54341606731711
1131	Sean Cassidy (Earth-616)	\/Sean_Cassidy_(Earth-616)	Secret Identity	Neutral Characters	Green Eyes	Strawberry Blond Hair	Male Characters		Living Characters	374	Jan-67	1967	39.54164792248568	-84.32784607648094
2487	Thomas Raymond (Earth-616)	\/Thomas_Raymond_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	373	Sep-40	1940	-117.1611	32.7157
1572	Uatu (Earth-616)	\/Uatu_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Bald	Male Characters		Deceased Characters	373	Apr-63	1963	-165.84654681497346	38.37030824677265
2239	Richard Rider (Earth-616)	\/Richard_Rider_(Earth-616)	Public Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Deceased Characters	373	Sep-76	1976	-137.75140295658142	50.41289957790107
1827	Hogun (Earth-616)	\/Hogun_(Earth-616)	Public Identity	Good Characters	Grey Eyes	Black Hair	Male Characters		Living Characters	371	Aug-65	1965	-11.541161237969192	89.7907410862799
55878	Raven Darkholme (Earth-616)	\/Raven_Darkholme_(Earth-616)	Secret Identity	Bad Characters	Yellow Eyes	Red Hair	Female Characters	Bisexual Characters	Living Characters	371	Apr-78	1978	-11.4169557145878	-7.973072610171727
2173	Barbara Morse (Earth-616)	\/Barbara_Morse_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	368	Jun-71	1971	-132.83039493268316	6.526557631789956
1179	Blackagar Boltagon (Earth-616)	\/Blackagar_Boltagon_(Earth-616)	No Dual Identity	Good Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	366	Dec-65	1965	-67.90651420354956	48.28346000522072
2392	Brunnhilde (Earth-616)	\/Brunnhilde_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	361	Dec-70	1970	-23.793017773298345	-87.78486419188914
1404	Alison Blaire (Earth-616)	\/Alison_Blaire_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Strawberry Blond Hair	Female Characters		Living Characters	353	Feb-80	1980	-117.1611	32.7157
18186	Venom (Symbiote) (Earth-616)	\/Venom_(Symbiote)_(Earth-616)	Known to Authorities Identity	Neutral Characters	Variable Eyes	No Hair	Agender Characters		Living Characters	348	May-84	1984	11.03267016683185	-35.660545718887384
1586	John Walker (Earth-616)	\/John_Walker_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	346	Nov-86	1986	-176.42783811165754	-27.335557087479486
2440	Greer Grant (Earth-616)	\/Greer_Grant_(Earth-616)	Public Identity	Good Characters	Green Eyes	Black Hair	Female Characters		Living Characters	342	Nov-72	1972	147.68849074419416	-44.94245736862885
2185	Karla Sofen (Earth-616)	\/Karla_Sofen_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	340	Dec-75	1975	-53.159059080155416	32.86694210986738
2382	William Baker (Earth-616)	\/William_Baker_(Earth-616)	Secret Identity	Neutral Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	338	Sep-63	1963	48.38755986988792	-2.4649130140883244
1300	Sharon Carter (Earth-616)	\/Sharon_Carter_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	332	Mar-66	1966	3.1989124414380115	13.993485914836498
1180	Felicia Hardy (Earth-616)	\/Felicia_Hardy_(Earth-616)	Public Identity	Bad Characters		Blond Hair	Female Characters		Living Characters	332	Jul-79	1979	-27.641568246689815	42.63564416011974
1901	Cain Marko (Earth-616)	\/Cain_Marko_(Earth-616)	Public Identity	Neutral Characters	Blue Eyes	Red Hair	Male Characters		Living Characters	329	Jul-65	1965	-133.34987835421694	-31.220845683786614
37751	Monica Rambeau (Earth-616)	\/Monica_Rambeau_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Black Hair	Female Characters		Living Characters	327			-100.5389801758355	-79.01257633204503
20978	Maria Hill (Earth-616)	\/Maria_Hill_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Black Hair	Female Characters		Living Characters	325	Apr-05	2005	9.995692166561469	64.55816878851104
1161	Ben Urich (Earth-616)	\/Ben_Urich_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	324	Jul-78	1978	26.116142806554336	-55.920580176582014
2182	Heather Douglas (Earth-616)	\/Heather_Douglas_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Bald	Female Characters	Bisexual Characters	Living Characters	323	Jan-73	1973	169.67969321739594	-48.137255111414184
100209	Millicent Collins (Earth-616)	\/Millicent_Collins_(Earth-616)	Public Identity		Blue Eyes	Blond Hair	Female Characters		Living Characters	321	Dec-45	1945	139.50902957606928	-82.18049185920721
1973	James Proudstar (Earth-616)	\/James_Proudstar_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Black Hair	Male Characters		Living Characters	320	Jun-84	1984	51.41367652811945	41.27613084669588
1633	Angelica Jones (Earth-616)	\/Angelica_Jones_(Earth-616)	Known to Authorities Identity	Good Characters	Green Eyes	Red Hair	Female Characters		Living Characters	319	May-85	1985	92.19762364078935	1.187479270314597
11857	Edward Brock (Earth-616)	\/Edward_Brock_(Earth-616)	Public Identity	Neutral Characters	Black Eyes	Blond Hair	Male Characters		Living Characters	318	Sep-86	1986	-111.02599972873105	72.4383939767458
2513	MacDonald Gargan (Earth-616)	\/MacDonald_Gargan_(Earth-616)	Secret Identity	Bad Characters	Brown Eyes	Bald	Male Characters		Living Characters	317	Dec-64	1964	-171.78986448785955	51.40328971419419
2146	Mephisto (Earth-616)	\/Mephisto_(Earth-616)	No Dual Identity	Bad Characters	White Eyes	Black Hair	Male Characters		Living Characters	316	Dec-68	1968	-117.1611	32.7157
7630	Tabitha Smith (Earth-616)	\/Tabitha_Smith_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	316	Nov-85	1985	29.79898652573516	67.13666484003201
2238	Jean-Paul Beaubier (Earth-616)	\/Jean-Paul_Beaubier_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Black Hair	Male Characters	Homosexual Characters	Living Characters	313	Apr-79	1979	-44.50475215251487	72.50124016957568
1706	Daniel Ketch (Earth-616)	\/Daniel_Ketch_(Earth-616)	Secret Identity	Neutral Characters	Green Eyes	Brown Hair	Male Characters		Living Characters	311	May-90	1990	2.5217363093561005	27.884853092297618
1460	Neena Thurman (Earth-616)	\/Neena_Thurman_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Black Hair	Female Characters		Living Characters	310	Mar-92	1992	30.06985972528048	67.8146352524553
2010	Wong (Earth-616)	\/Wong_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Bald	Male Characters		Living Characters	306	Jul-63	1963	-87.43563917190815	18.77245710892943
2456	Thanos (Earth-616)	\/Thanos_(Earth-616)	No Dual Identity	Bad Characters	Red Eyes	No Hair	Male Characters		Living Characters	306	Feb-73	1973	-119.13067451478813	15.237769196591529
15282	Shang-Chi (Earth-616)	\/Shang-Chi_(Earth-616)	No Dual Identity	Good Characters	Brown Eyes	Black Hair	Male Characters		Living Characters	296	Dec-73	1973	-149.52184700894162	41.16786897694186
